1	2	3	2
3	4	3	4
5	6	3	2
7	5	3	4
8	9	6	4
10	11	3	2
11	12	3	2
10	12	3	2
13	14	3	2
13	15	3	2
16	5	3	4
17	18	3	3
17	12	3	3
13	15	3	2
14	15	6	2
13	19	6	2
20	21	3	2
20	22	3	4
20	23	3	0
23	24	6	0
25	26	6	0
25	22	3	0
23	27	3	0
28	23	3	0
8	21	3	0
9	29	0	4
31	32	3	3
32	33	3	3
34	35	3	2
35	36	3	2
2	6	3	2
37	10	3	3
10	38	3	3
37	38	3	3
39	40	3	3
39	41	3	3
18	42	3	3
10	43	3	2
10	43	3	2
44	45	3	2
44	46	3	2
46	12	3	4
46	12	3	4
47	48	3	1
31	33	3	3
31	51	6	4
52	53	3	4
52	54	3	3
52	55	3	4
52	56	3	2
57	52	3	4
57	58	3	2
58	52	3	2
59	60	3	2
61	62	3	1
30	61	3	2
63	52	3	2
13	64	3	4
65	66	3	3
59	67	3	2
61	67	3	2
68	69	3	4
70	69	3	4
71	72	3	4
73	74	3	3
37	75	3	3
72	75	3	4
37	72	3	3
76	77	3	4
76	77	3	4
73	72	3	3
18	40	3	3
10	45	3	3
10	74	3	3
45	74	3	1
78	32	3	4
79	80	3	0
79	80	3	0
81	79	3	0
81	79	3	0
34	82	3	2
83	84	3	2
83	24	3	1
85	86	3	4
87	86	3	4
90	86	3	4
91	86	3	4
86	92	3	4
91	86	3	4
86	93	3	4
94	86	3	4
86	95	3	4
86	96	3	2
97	66	3	4
42	98	3	4
99	100	3	4
42	98	3	4
42	181	3	2
42	101	3	4
102	42	3	4
103	87	3	4
104	103	3	4
105	87	3	4
106	107	3	3
108	107	3	4
109	106	3	4
110	111	3	4
87	112	3	4
113	87	3	4
87	85	3	4
110	114	3	4
115	116	3	4
117	118	3	4
117	119	3	4
117	120	3	4
121	122	3	4
123	124	3	4
144	107	3	2
125	126	3	4
127	119	3	4
118	496	3	4
121	119	3	4
129	124	3	2
125	130	3	4
125	123	3	4
131	132	3	4
133	123	3	4
117	120	3	4
117	134	3	4
135	136	3	4
125	123	3	4
123	131	3	4
117	119	3	4
117	496	3	4
137	105	3	2
138	87	3	3
139	105	3	2
184	185	3	1
140	87	3	2
106	141	3	2
142	107	3	2
129	123	3	2
140	143	3	2
142	144	3	3
140	106	3	2
145	146	3	2
147	107	3	1
139	107	3	1
140	141	3	2
142	107	3	2
147	107	3	1
125	123	3	2
125	148	3	2
149	150	3	2
145	125	3	2
129	151	3	2
149	120	3	2
126	120	3	4
129	153	3	2
125	147	3	1
125	154	3	1
149	120	3	2
130	120	3	4
125	155	3	1
125	154	3	1
117	156	3	4
117	149	3	2
154	150	3	1
154	150	3	1
117	149	3	2
157	110	3	4
119	158	3	4
159	60	3	2
160	161	3	2
115	151	3	4
162	134	3	2
115	123	3	2
162	134	3	2
209	4	6	4
123	163	3	4
112	164	3	4
112	165	3	4
166	165	3	4
112	164	3	4
167	165	3	2
168	104	3	4
138	104	3	2
139	104	3	2
104	169	3	2
104	169	3	2
168	105	3	4
104	170	3	2
104	170	3	1
138	87	3	4
139	87	3	2
138	87	3	4
171	89	3	4
119	158	3	4
105	172	3	4
123	173	3	4
119	158	3	4
105	174	3	2
37	39	3	4
129	175	3	2
129	176	3	2
88	129	3	2
177	18	3	2
177	18	3	2
178	120	3	2
179	12	3	2
180	181	3	2
182	180	3	2
179	181	3	2
180	12	3	2
183	30	3	4
183	21	3	4
183	21	3	4
183	30	3	4
88	89	3	2
184	89	3	2
184	186	3	4
184	187	3	4
137	105	3	2
104	172	3	2
104	172	3	2
89	175	3	2
185	89	3	2
89	188	3	2
189	190	3	3
191	172	3	2
191	172	3	2
42	192	3	2
42	192	3	2
105	186	3	4
105	187	3	4
191	193	3	2
187	497	3	4
187	497	3	4
191	195	3	2
191	196	3	2
197	195	3	2
197	191	3	2
199	165	3	1
134	123	3	2
200	193	3	2
